EIIN,SIX_AVG,SEVEN_AVG,EIGHT_AVG,NINE_AVG,TEN_AVG,FEM_STD_RATIO,FEM_TCH_RATIO,SESscore_L,SESscore_LM,SESscore_UM,SESscore_U,INSTITUTE NAME,INSTITUTE_TYPE,DIVISION,DISTRICT,THANA,UNION_NAME,MAUZA_NAME,ADDRESS,MOBILE,STUDENT_TYPE,EDUCATION_LEVEL,AScore,TSR_SCORE,AS_SCORE,SES_SCORE
100017,10.4,12.03,12.77,13.89,14.92,0.532,0.083,0.659,0.593,0.35,0.421,EAST CHILA RAHMANIA HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,PURBA CHILA,PURBA CHILA,1716203073,CO-EDUCATION JOINT,Secondary,1,0.79387998,0.855754611,0.381655853
100018,10.57,11.55,12.55,12.45,13.49,0.405,0.167,0.663,0.59,0.347,0.419,TARIKATA SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,ARPANGASHIA,TARIKATA,TARIKATA,1714588243,CO-EDUCATION JOINT,Secondary,1,0.609884807,0.824061392,0.379967226
100019,10.89,11.84,13.89,14.67,15.76,0.591,0.143,0.428,0.731,0.48,0.553,CHILA HASHEM BISWAS HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,PASCHIM CHILA,CHILA,1715952046,CO-EDUCATION JOINT,Secondary,1,0.740735154,0.719972117,0.472335184
100020,10.75,11.67,12.67,13.7,14.67,0.461,0.222,0.433,0.728,0.477,0.55,CHALAVANGA HIGH SCHOOL PRO,School,BARISAL,BARGUNA,AMTALI,AMTALI,CHALABHANGA,CHALAVANGA,1726175459,CO-EDUCATION JOINT,Secondary,1,0.359097314,0.658605725,0.470319678
100021,10,11,12,13,14,0.332,0.125,0.32,0.696,0.544,0.616,CHUNAKHALI HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,KUKUA,PASCHIM CHUNAKHALI,CHUNAKHALI,1716030833,CO-EDUCATION JOINT,Secondary,1,0.551297901,0.642461859,0.517016452
100022,10.93,11.37,12.63,14.55,14.81,1,0.385,0.147,0.555,0.67,0.733,MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,AMTALI,AMTALI,UPZILA ROAD,1718101316,GIRLS,Secondary,5,0.370539117,0.627683073,0.937841851
100023,10.76,12.19,13.13,14.06,14.11,0.57,0.2,0.334,0.704,0.536,0.608,GOZ-KHALI(MLT) HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,GOJKHALI,GOZKHALI,1720485877,CO-EDUCATION JOINT,Secondary,1,0.491831513,0.60951598,0.511210542
100024,10,11,12,13,14,0.526,0,0.348,0.713,0.527,0.599,KAUNIA IBRAHIM ACADEMY,School,BARISAL,BARGUNA,AMTALI,CHOWRA,CHOWRA,KAUNIA,1721810903,CO-EDUCATION JOINT,Secondary,1,0.201621423,0.575717324,0.504897115
100026,11,12,13,14,15,0.509,0.3,0.599,0.632,0.383,0.456,ARPAN GASHIA HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,ARPANGASHIA,TARIKATA,ARPAN GASHIA,1724183205,CO-EDUCATION JOINT,Secondary,1,0.513934809,0.541683116,0.405519495
100027,10.63,11.54,12.51,13.48,14.47,0.468,0.2,0.294,0.679,0.561,0.632,CHHOTO BOGI P.K HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,CHHOTA BAGI,CHHOTA BAGI,CHHOTO BOGI,1784723128,CO-EDUCATION JOINT,Secondary,1,0.55168937,0.558613391,0.528868162
100028,10.17,11.15,12,13.9,14.87,0.494,0.3,0.685,0.575,0.334,0.405,SHAHEED SOHRAWARDI SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,KUKUA,KUKUA,KUKUA,1719765468,CO-EDUCATION JOINT,Secondary,1,0.499726193,0.541399428,0.370841042
100029,11.1,12.1,13.1,0,0,1,0,0.623,0.617,0.37,0.442,KALIBARI JR GIRLS HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,KALIBARI,KALIBARI,1727849050,GIRLS,Junior Secondary,1,0.851160288,0.524107464,0.395975179
100030,11,12,13,0,0,0.6,0.375,0.404,0.744,0.494,0.567,HALDIA GRUDAL BANGO BANDU HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,HALDIA,HALDIA,1715886917,CO-EDUCATION JOINT,Junior Secondary,1,0.892910212,0.521592017,0.482169971
100031,11.96,12.98,13.95,14.97,15.97,0.51,0.182,0.949,0.289,0.14,0.187,KUKUA ADARSHA HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,KUKUA,KUKUA,KUKUA,1713647486,CO-EDUCATION JOINT,Secondary,1,0.394612247,0.506722438,0.217010185
100032,10,12,13,14,15,0.348,0.167,0.991,0.155,0.068,0.098,GAZIPUR BANDAIR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,ATHARAGASHIA,GAZIPUR,GAZIPUR BANDAIR,1712659808,CO-EDUCATION JOINT,Secondary,1,0.448289544,0.506722438,0.143788945
100033,10.59,12.27,13.32,15.23,15.3,0.489,0.167,0.503,0.689,0.437,0.511,SOUTH RAOGHA NUR AL AMIN SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,DAKSHIN RAOGHA,SOUTH RAOGHA,1719938577,CO-EDUCATION JOINT,Secondary,1,0.257480402,0.489372155,0.442955595
100034,10.37,11.51,12.61,13.71,14.3,0.422,0.222,0.394,0.739,0.499,0.572,KHEKUANI HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,KHEKUANI,KHEKUANI,1737227025,CO-EDUCATION JOINT,Secondary,1,0.625818517,0.472041964,0.485955801
100035,12.36,12.85,13.46,13.58,14.27,0.465,0.111,0.934,0.319,0.156,0.207,KEWABUNIA SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,KUKUA,KEOWABUNIA,KEWABUNIA,1716475978,CO-EDUCATION JOINT,Secondary,1,0.510427456,0.454764551,0.232182467
100037,10.1,12.04,13,14.05,15.21,0.482,0.231,0.995,0.12,0.052,0.076,ATHARAGACHIA SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,ATHARAGASHIA,ATHARAGASHIA,ATHARAGACHIA,1713956096,CO-EDUCATION JOINT,Secondary,1,0.602661929,0.386776587,0.123345745
100038,11,11.93,13,0,0,0.588,0,0.734,0.538,0.305,0.374,KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,KALAGACHHIA,KALAGACHIA,1757959215,CO-EDUCATION JOINT,Junior Secondary,1,0.588211174,0.370192273,0.349756778
100039,10.29,11.26,13.04,0,0,1,0.25,0.42,0.735,0.484,0.558,HALIMA KHATUN G R GIRLS HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,GULISAKHALI,GULISHAMALI,1735631123,GIRLS,Junior Secondary,4,0.787236485,0.353890175,0.812879729
100041,10.19,11.31,12.35,0,0,0.512,0,0.911,0.355,0.179,0.233,PATAKTA NURUL HAQUE JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,CHOWRA,CHOWRA,PATAKATA,1717110368,CO-EDUCATION JOINT,Junior Secondary,1,0.787646788,0.322102289,0.251345218
100042,10.69,11.45,12.29,0,0,0.439,0,0.834,0.449,0.24,0.303,K H AKOTA JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,GULISAKHALI,GULISAKHALI,KALAGACHHIA,1735437438,CO-EDUCATION JOINT,Junior Secondary,1,0.758415658,0.30662423,0.300798638
100043,10.95,12.03,12.95,14.01,15.05,0.41,0.214,0.312,0.69,0.55,0.621,BAGIR HAT SECONDARY SCHOOL.,School,BARISAL,BARGUNA,TALTALI,CHHOTA BAGI,CHHOTA BAGI,CHOTO BOGI,1712494503,CO-EDUCATION JOINT,Secondary,1,0.686973524,0.30662423,0.520801049
100044,11,12,13,14,15.29,0.496,0,0.836,0.448,0.239,0.302,GHATKHALI HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,CHOWRA,GHOTKHALI,GHATKHALI,1748265596,CO-EDUCATION JOINT,Secondary,1,0.597172321,0.277459415,0.300137745
100045,11.77,12.74,13.77,0,0,0.354,0,0.924,0.336,0.167,0.219,LAUPARA SAGAR SAIKAT HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,SONAKATA,BARA NISHANBARIA CHAK (PART),LAUPARA,1718968713,CO-EDUCATION JOINT,Secondary,1,0.237674649,0.221680781,0.241364478
100046,10.81,12.29,13.33,0,0,0.373,0,0.822,0.462,0.249,0.312,KHAGDON JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,KUKUA,KHAGDON,KHAGDON,1725966348,CO-EDUCATION JOINT,Junior Secondary,1,0.708664844,0.208963269,0.307443342
100047,11,12,13,0,15,0.562,0,0.532,0.673,0.421,0.495,ALL HAZ NASIR UDDIN JUNIOR SCHOOL,School,BARISAL,BARGUNA,TALTALI,KARAIBARIA,JHARAKHALI,DAKKHEN JHARAKHALI,1761092984,CO-EDUCATION JOINT,Secondary,1,0.675263423,0.196652922,0.431729872
100048,11,12,13,0,0,0.567,0,0.215,0.62,0.615,0.683,MODDHO CHANDRA JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,CHOWRA,CHOWRA,MODDHO CHANDRA,1748247502,CO-EDUCATION JOINT,Junior Secondary,1,0.758415658,0.196652922,0.566969593
100049,11.19,12.15,13.12,14,15.1,1,0.2,0.984,0.187,0.084,0.119,CHOTO BOGI COMDECA GIRLS SCHOOL,School,BARISAL,BARGUNA,TALTALI,CHHOTA BAGI,CHHOTA BAGI,CHOTO BHOGI,1716545444,GIRLS,Secondary,1,0.825718799,0.184824186,0.162326966
100050,11.14,11.63,12.85,14.55,14.55,0.499,0.091,0.6,0.631,0.383,0.456,DAKSHIN TAKTABUIA SECONDARY SCHOOL,School,BARISAL,BARGUNA,AMTALI,HALDIA,DAKSHIN TAKTABUNIA,SAKSHIN TAKTABUNIA,1718361040,CO-EDUCATION JOINT,Secondary,1,0.533993406,0.174549855,0.405028621
100051,10.25,12.22,13.15,0,0,1,0.4,0.67,0.585,0.343,0.414,UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,School,BARISAL,BARGUNA,AMTALI,AMTALI,CHALABHANGA,UTTAR TIAKHALI,1736712503,GIRLS,Junior Secondary,1,0.703210239,0.173906598,0.376837291
100053,11,12,13,14,15,1,0.333,0.404,0,0,0,PANCHAKORALIA GIRLS  HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,PONCHA KORALIA,PANCHA KORALIA,PANCHAKORALIA,1735542706,GIRLS,Secondary,1,0.654597025,0.173448053,0.000662592
100062,11,12,13,14,15,0.583,0.167,0.827,0.457,0.245,0.309,TALUKDERPARA HIGH SCHOOL,School,BARISAL,BARGUNA,TALTALI,BARABAGI,BARABAGI,TALUKDERPARA,1719937792,CO-EDUCATION JOINT,Secondary,1,0.04096394,0.123387271,0.304777704
100117,11.55,12.48,13.47,14.27,15.25,0.55,0.067,0.404,0,0,0,BUKABUNIA ADASHA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,BUKABUNIA,BATAJOR,BUKABUNIA,1715387732,CO-EDUCATION JOINT,Secondary,1,0.729128432,0.667914544,0.000662592
100119,11.41,12.14,13.17,14.07,14.67,1,0.5,0.131,0.536,0.685,0.746,BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,School,BARISAL,BARGUNA,BAMNA,BAMNA,BAMNA,SHAFIPUR HOLDING NO- 10,1714765637,GIRLS,Secondary,5,0.351726612,0.626104093,0.941329335
100120,10.51,11.54,12.46,13.49,14.48,0.508,0,0.278,0.668,0.571,0.642,HOGALPATI DOUATALA UNION SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,DAUATALA,HOGALPATI,HOGALPATI,1741013435,CO-EDUCATION JOINT,Secondary,1,0.838628453,0.883377493,0.535917295
100121,10.92,12.18,13.35,13.75,14.93,0.515,0.222,0.338,0.707,0.533,0.605,LATABUNIA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,BUKABUNIA,LATABUNIA,LATABUNIA,1718829807,CO-EDUCATION JOINT,Secondary,1,0.764547004,0.874628535,0.509442998
100122,11.07,12.08,13.03,14.09,15.04,0.59,0.182,0.516,0.682,0.43,0.504,JAFRAKHALI HIGH SCHOOL,School,BARISAL,BARGUNA,BAMNA,BUKABUNIA,CHHANBUNIA,JAFRAKHALI,1758751845,CO-EDUCATION JOINT,Secondary,1,0.503889081,0.658605725,0.437960177
100123,11.47,12.56,13.52,14.54,15.53,0.534,0.167,0.875,0.404,0.21,0.269,RAMNA SHER-E BANGLA SAMABAYA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,RAMNA,RAMNA,ROMNA,1721098300,CO-EDUCATION JOINT,Secondary,1,0.4417728,0.626104093,0.277008445
100124,10.51,12.52,13.49,14.42,15.4,0.469,0.273,0.265,0.659,0.58,0.65,HALDA DOUATALA SAMABAY MULTILATERAL SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,DAUATALA,DAUATALA,DOUATALA,1735590094,CO-EDUCATION JOINT,Secondary,1,0.202635215,0.592726064,0.542201717
100125,10,11,12,13,14,0.479,0.1,0.631,0.611,0.365,0.438,UTTAR KAKCHIRA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,DAUATALA,KAKCHIRA,UTTAR  KAKCHIRA,1710180089,CO-EDUCATION JOINT,Secondary,1,0.421291379,0.748490775,0.392807244
100126,11.08,12.07,13.07,14.18,15.25,0.791,0.167,0.404,0.744,0.494,0.567,J C L JUNIOR HIGH SCHOOL,School,BARISAL,BARGUNA,BAMNA,BUKABUNIA,PURBA CHALITABUNIA,CHALITABUNIA,1718777816,CO-EDUCATION JOINT,Secondary,1,0.776548,0.221680781,0.482169971
100127,10.83,12.12,13.56,15,16,0.561,0.167,0.545,0.665,0.414,0.487,KHOLPATUA ADARSHA JUNIOR SECONDARY SCHOOL,School,BARISAL,BARGUNA,BAMNA,RAMNA,KHOLPATUA,KHOLPATUA,1719733075,CO-EDUCATION JOINT,Secondary,1,0.391614318,0.14235466,0.426757749
100146,10.74,12.78,13.17,14.08,15.09,0.486,0.167,0.16,0.569,0.659,0.723,FULJHURE M. L SECONDARY SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,PATAKATA,FULJHURE,1728366959,CO-EDUCATION JOINT,Secondary,2,0.437870189,0.592726064,0.71418434
100147,10.68,12.65,13.25,14.33,14.33,0.466,0.167,0.885,0.392,0.202,0.259,LEMUA IDEAL HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,AYLA PATAKATA,ITABARIA,LEMUA,1732097754,CO-EDUCATION JOINT,Secondary,1,0.818328918,0.196652922,0.270264729
100148,10.8,12.67,12.7,0,0,1,0.286,0.404,0,0,0,UTTER  KUMAR KHALI  J.R.  GIRLS  SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,BADARKHALI,KUMAR KHALI,1916015050,GIRLS,Secondary,1,0.78102662,0.114714089,0.000662592
100149,11,11.98,12.19,13,14,0.534,0,0.917,0.346,0.173,0.226,DEMA GULISHA KHALI HAKMIA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,GULISHAKHALI,DEMA GULISHA KHALI,1733730760,CO-EDUCATION JOINT,Secondary,1,0.617844361,0.322102289,0.246527414
100151,10.87,12.22,13.27,14.14,15,0.517,0.125,0.95,0.287,0.138,0.185,NIMTOLI AZIZABAD C M SECONDARY GIRL'S SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,M.BALIATALI,NIMTALI AZIZABAD,AZIZABAD,1718852003,CO-EDUCATION JOINT,Secondary,1,0.755835573,0.276780916,0.215525128
100152,10.9,12.05,12.87,13.15,12.65,0.456,0.2,0.61,0.625,0.377,0.45,CHALITATALI KB HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,KUMRAKHALI,CHALITATALA,1911042031,CO-EDUCATION JOINT,Secondary,1,0.701839318,0.499544317,0.401107072
100153,11.19,13.19,15.14,16,16,0.485,0.125,0.949,0.289,0.14,0.187,BABUGANJ ADARSHA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,NALTONA,PADMA,PADMA,1748560061,CO-EDUCATION JOINT,Secondary,1,0.601634139,0.32205956,0.217010185
100156,10.18,11.28,12.33,14.25,15.02,0.619,0.167,0.231,0.633,0.604,0.672,GUDI GHATA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,PHULJHURY,BURIRKHAL,GUDI GHATA,1761101344,CO-EDUCATION JOINT,Secondary,1,0.678579315,0.541399428,0.558987746
100157,11.39,12.02,12.88,13.09,14.12,0.392,0.333,0.559,0.656,0.406,0.479,BARGUNA COLLEGIATE HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,WARD NO-08,PURBA COLLEGE PARA,COLLEGE ROOD,1710180950,CO-EDUCATION JOINT,Secondary,7,0.615778219,0.208963269,0.955458928
100158,10,11,12,13,14,0.905,0.438,0.984,0.189,0.085,0.12,BARGUNA ADARSHA GIRL'S HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BARGUNA,BANSHBANIA,SHER-E-BANGLA ROAD,1719764040,GIRLS,Secondary,7,0.764293257,0.469481741,0.820607639
100159,11.31,12.24,13.19,13.25,14.25,0.43,0.385,0.413,0.739,0.488,0.562,BARGUNA D.K.P SECONDARY  SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,WARD NO-09,PASCHIM BARGUNA,D.K.P ROAD,1716276875,CO-EDUCATION JOINT,Secondary,7,0.615519719,0.575717324,0.967499502
100160,10.1,11.07,12.13,14.11,15.12,0.415,0.308,0.206,0.612,0.623,0.689,LAKURTALA SONAR BANGLA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,GAURICHANNA,KHAJURTALA,LAKURTALA,1718204483,CO-EDUCATION JOINT,Secondary,1,0.75667076,0.524107464,0.57219308
100162,10.46,11.39,13.26,14.37,15.31,0.453,0.3,0.977,0.214,0.098,0.136,KARAITALA SONAKHALI GAGON MEMORIAL HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,WARD NO-03,PURBA MAITHA,GAGON ALI SAROK,1736727124,CO-EDUCATION JOINT,Secondary,7,0.439950854,0.558613391,0.834665563
100163,10.83,11.92,12.85,13.77,15,0.541,0.182,0.98,0.206,0.094,0.131,NALI MUSLIM HIGHER SECONDARY SCHOOL,School and College,BARISAL,BARGUNA,BARGUNA SADAR,DHALUA,NALI,NALI,1732286667,CO-EDUCATION JOINT,Higher Secondary,1,0.691150006,0.948168128,0.172801795
100164,11.03,12,13,14,15.05,0.548,0.2,0.961,0.261,0.124,0.168,TETUL BARIA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,PATAKATA,TETUL BARIA,1740860795,CO-EDUCATION JOINT,Secondary,1,0.614937905,0.920676088,0.202248753
100165,10.9,12.04,13,14.03,15.04,0.515,0.125,0.711,0.555,0.319,0.389,SHIALIA MI HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,NALTONA,PITAMBARGANJ,SHIALA,1718204495,CO-EDUCATION JOINT,Secondary,1,0.763531114,0.883377493,0.359653621
100166,10.97,12,13.02,13.91,15,0.523,0.3,0.383,0.733,0.506,0.579,NALI MAITHA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,M.BALIATALI,MAITHA,MAITHA,1727636038,CO-EDUCATION JOINT,Secondary,1,0.758003842,0.865431488,0.490500438
100167,10.16,11.09,13.08,13.83,14.53,0.512,0.3,0.585,0.641,0.391,0.465,LEMUA KHAJURA PK. HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,DHALUA,DHALUA,LEMUA,1724124864,CO-EDUCATION JOINT,Secondary,1,0.614937905,0.762152192,0.411175039
100168,10.43,11.47,12.52,13.44,14.33,0.577,0.2,0.547,0.664,0.413,0.486,BAWALKER D K JR HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BADARKHALI,BAOALKAR,BAWALKER,1729478269,CO-EDUCATION JOINT,Secondary,1,0.261756662,0.674421531,0.426012913
100169,11.09,12.03,13.06,14,14.02,0.476,0,0.461,0.713,0.461,0.535,PARIRKHAL HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,M.BALIATALI,TALTALI,PARIRKHAL,1714900616,CO-EDUCATION JOINT,Secondary,1,0.42093413,0.658605725,0.459500637
100170,10.33,11.64,13.38,14.53,15.24,0.472,0.071,0.506,0.688,0.436,0.509,AYLA SECONDARY SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,KEORABUNIA,ADABARIA,ADHABARIA,1742886805,CO-EDUCATION JOINT,Secondary,2,0.564410413,0.883377493,0.567716544
100171,11,12,14,15,16,0.583,0.167,0.98,0.203,0.093,0.129,BASHBUNIA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BARGUNA,BANSHBANIA,BARGUNA,1766102305,CO-EDUCATION JOINT,Secondary,1,0.708664844,0.592726064,0.171026699
100172,10.04,12.1,14,15,16,0.37,0.182,0.958,0.269,0.128,0.173,BURIRCHAR A.M.G HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BURIR CHAR,BURIR CHAR,BURIR CHAR,1714934175,CO-EDUCATION JOINT,Secondary,1,0.425377201,0.541399428,0.206377996
100173,11.51,11.97,13.31,13.85,14.79,0.527,0.333,0.834,0.45,0.241,0.304,ROAD PARA SHAHID SMIRITY HIGH SCHOOL,School and College,BARISAL,BARGUNA,BARGUNA SADAR,PHULJHURY,BURIRKHAL,ROAD PARA,1716310426,CO-EDUCATION JOINT,Higher Secondary,1,0.736074204,0.524107464,0.301239598
100174,11.46,12.42,13.44,14.36,15.46,0.444,0.25,0.841,0.443,0.236,0.298,AYLA PATAKA SONAR BANGLA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,AYLA PATAKATA,JANGALIA,JANGALIA,1734756730,CO-EDUCATION JOINT,Secondary,1,0.622480845,0.524107464,0.297281497
100175,10.97,11.96,13.07,14.03,15,0.548,0.25,0.883,0.394,0.203,0.261,DALVANGA B M HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,DHALUA,DALBHANGA,DALBHANGA,1721539630,CO-EDUCATION JOINT,Secondary,1,0.743247018,0.524107464,0.271522898
100176,11.15,12.33,12.06,12.74,13.74,0.532,0.111,0.905,0.365,0.184,0.24,FUL DHALUA KATHAL TALI HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,DHALUA,DALBHANGA,FUL DHALUA,1716315181,CO-EDUCATION JOINT,Secondary,1,0.36734883,0.524107464,0.256212342
100177,11.94,12.91,13.64,14.89,16,0.531,0.2,0.972,0.232,0.107,0.148,CHARAKGACHHIA PROGOTI HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,DHALUA,CHARAK GACHHIA,CHARAKGACHHIA,1731016090,CO-EDUCATION JOINT,Secondary,1,0.526550415,0.524060011,0.186402178
100178,10.25,11.28,12.26,13.26,14.3,0.482,0.167,0.399,0.741,0.497,0.57,AMTALI A.K. ADRSHA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,BARGUNA,HELIBANIA,AMTALI,1710744166,CO-EDUCATION JOINT,Secondary,1,0.767580173,0.516891125,0.484188902
100179,10.98,12.14,13.05,14.32,14.81,0.468,0.5,0.797,0.485,0.266,0.331,BARGUNA MAITHA HIGH SCHOOL,School,BARISAL,BARGUNA,BARGUNA SADAR,WARD NO-02,PASCHIM MAITHA,KHAJURTALA MATHA,1718623449,CO-EDUCATION JOINT,Secondary,5,0.751602115,0.506722438,0.787937059
